bench,addr,generation,alloc_type,alloc_size,offset,writes,pct_of_buffer,pct_of_bench
blender,0x52f1c80,2,object,4096,132,507,0.02445018431677408,0.001428597110311535
blender,0x52f1c80,2,object,4096,130,507,0.02445018431677408,0.001428597110311535
blender,0x52f1c80,2,object,4096,134,507,0.02445018431677408,0.001428597110311535
blender,0x52f1c80,2,object,4096,131,507,0.02445018431677408,0.001428597110311535
blender,0x52f1c80,2,object,4096,129,507,0.02445018431677408,0.001428597110311535
blender,0x5f7c4c0,9,object,2073608,832396,1,4.822528538518259e-05,2.81774577970717e-06
blender,0x6182060,4,64bits,8294408,64,2,9.645057077036518e-05,5.63549155941434e-06
blender,0x6182060,4,64bits,8294408,16,2,9.645057077036518e-05,5.63549155941434e-06
blender,0x5f7c4c0,9,object,2073608,832394,1,4.822528538518259e-05,2.81774577970717e-06
blender,0x6182060,4,64bits,8294408,96,2,9.645057077036518e-05,5.63549155941434e-06
blender,0x5f7c4c0,9,object,2073608,832398,1,4.822528538518259e-05,2.81774577970717e-06
blender,0x6182060,4,64bits,8294408,88,2,9.645057077036518e-05,5.63549155941434e-06
blender,0x5f7c4c0,9,object,2073608,832395,1,4.822528538518259e-05,2.81774577970717e-06
blender,0x6182060,4,64bits,8294408,32,2,9.645057077036518e-05,5.63549155941434e-06
blender,0x5f7c4c0,9,object,2073608,832391,1,4.822528538518259e-05,2.81774577970717e-06
blender,0x5598060,1,64bits,8294408,3987224,1,9.64505242568246e-05,2.81774577970717e-06
blender,0x5598060,1,64bits,8294408,3987200,1,9.64505242568246e-05,2.81774577970717e-06
blender,0x5598060,1,64bits,8294408,3987240,1,9.64505242568246e-05,2.81774577970717e-06
blender,0x5598060,1,64bits,8294408,3987208,1,9.64505242568246e-05,2.81774577970717e-06
blender,0x5598060,1,64bits,8294408,3987192,1,9.64505242568246e-05,2.81774577970717e-06
blender,0x5d82060,1,32bits,2073608,353168,2,0.0002572013153275266,5.63549155941434e-06
blender,0x5d82060,1,32bits,2073608,353192,2,0.0002572013153275266,5.63549155941434e-06
blender,0x5d82060,1,32bits,2073608,353152,2,0.0002572013153275266,5.63549155941434e-06
blender,0x5d82060,1,32bits,2073608,353160,2,0.0002572013153275266,5.63549155941434e-06
