bench,alloc_type,block_size,blocks,viable_spread4,viable_spread8,mean_spread
parest,64bits,16,762775,1.0,1.0,
parest,64bits,32,762775,1.0,1.0,
parest,64bits,64,762775,1.0,1.0,
parest,64bits,128,762775,1.0,1.0,
perlbench,32bits,8,1274,1.0,1.0,
perlbench,32bits,16,1274,1.0,1.0,
perlbench,32bits,32,1274,1.0,1.0,
perlbench,32bits,64,1274,1.0,1.0,
perlbench,32bits,128,1274,1.0,1.0,
perlbench,64bits,8,4836,1.0,1.0,
perlbench,64bits,16,4836,1.0,1.0,
perlbench,64bits,32,4836,1.0,1.0,
perlbench,64bits,64,4836,1.0,1.0,
perlbench,64bits,128,4836,1.0,1.0,
pop2,32bits,8,163993863,1.0,1.0,
pop2,32bits,16,163993863,1.0,1.0,
pop2,32bits,32,163993863,1.0,1.0,
pop2,32bits,64,163993863,1.0,1.0,
pop2,32bits,128,163993863,1.0,1.0,
pop2,64bits,8,187794574,1.0,1.0,
pop2,64bits,16,187794574,1.0,1.0,
pop2,64bits,32,187794574,1.0,1.0,
pop2,64bits,64,187794574,1.0,1.0,
pop2,64bits,128,187794574,1.0,1.0,
povray,32bits,8,112319,1.0,1.0,
povray,32bits,16,112319,1.0,1.0,
povray,32bits,32,112319,1.0,1.0,
povray,32bits,64,112319,1.0,1.0,
povray,32bits,128,112319,1.0,1.0,
povray,64bits,8,29341,1.0,1.0,
povray,64bits,16,29341,1.0,1.0,
povray,64bits,32,29341,1.0,1.0,
povray,64bits,64,29341,1.0,1.0,
povray,64bits,128,29341,1.0,1.0,
roms,32bits,8,100355,1.0,1.0,
roms,32bits,16,100355,1.0,1.0,
roms,32bits,32,100355,1.0,1.0,
roms,32bits,64,100355,1.0,1.0,
roms,32bits,128,100355,1.0,1.0,
roms,64bits,8,279698274,1.0,1.0,
roms,64bits,16,279698274,1.0,1.0,
roms,64bits,32,279698274,1.0,1.0,
roms,64bits,64,279698274,1.0,1.0,
roms,64bits,128,279698274,1.0,1.0,
