bench,alloc_type,site,distinct_offsets,frac_constant_exp,mean_exp_range,median_exp_range,p95_exp_range
pop2,64bits,__shr_map_mod_MOD_shr_map_mapset_global,871478,0.9038495521401573,0.548122844179658,4.2105263157894735,48
pop2,32bits,__m_attrvect_MOD_init_,819256,0.8660882556856465,6.287414434560137,0.3333333333333333,173
pop2,64bits,__hmix_aniso_MOD_init_aniso,340152,0.2802511818245961,1.0159340530115948,1.0,2
pop2,64bits,__seq_flux_mct_MOD_seq_flux_init_mct,202488,0.7155090672039824,0.5460274189087748,0.3,5
pop2,64bits,__seq_domain_mct_MOD_domain_areafactinit_mct,167868,0.9108406605189792,0.0891593394810208,0.125,1
pop2,64bits,__io_binary_MOD_read_real8_3d,66618,0.4088684739860098,277.6886727310937,286.1666666666667,1977
pop2,64bits,__m_attrvect_MOD_exportrattrdp_,63660,0.0,5.836663524976437,6.0,6
pop2,64bits,__tidal_mixing_MOD_init_tidal_mixing,58786,0.013642704045180823,10.944272445820433,12.0,21
pop2,64bits,__pop_solversmod_MOD_pop_solversinit,56338,0.9972842486421243,0.002751251375625688,0.0,0
pop2,64bits,__diag_bsf_MOD_init_diag_bsf,52716,0.9668791258820851,3.253699066697018,11.0,102
pop2,64bits,__hmix_gm_MOD_init_gm,46036,0.47150056477539315,19.40192458076288,21.0,45
pop2,64bits,ncio_open,45967,0.17775795679509213,1359.942110644593,1570.1538461538462,2045
pop2,64bits,__datm_shr_mod_MOD_datm_shr_getfactors,33153,0.01981721111211655,12.04992006756553,14.333333333333334,21
pop2,64bits,__vmix_kpp_MOD_init_vmix_kpp,25056,0.06401660280970625,3.342512771392082,4.0,4
pop2,64bits,__seq_domain_mct_MOD_seq_domain_check_grid_mct,23733,1.0,0.0,0.0,0
pop2,64bits,__grid_MOD_read_horiz_grid,23200,0.0,1100.0291379310345,1098.0,1882
pop2,64bits,__ocn_comp_mct_MOD_ocn_init_mct,11600,0.0,23.978793103448275,24.0,27
pop2,64bits,__dice_comp_mod_MOD_dice_comp_init,9506,0.6119293078055965,0.7761413843888071,0.0,2
povray,64bits,pov::Initialize_Radiosity_Code(),4800,0.99875,0.00125,0.0,0
povray,32bits,pov::Create_BMap_Entries(int),1149,0.3394255874673629,1.2001740644038295,0.7142857142857143,5
povray,64bits,pov::open_istack(),195,0.49230769230769234,20.076923076923077,2.5,237
roms,64bits,__step2d_mod_MOD_step2d_tile,76578773,0.040356366117279004,21.004208816456227,18.0625,41
roms,64bits,__mod_ocean_MOD_allocate_ocean,18801105,0.13615657164831535,10.089174599046173,9.466666666666667,60
roms,64bits,__mod_grid_MOD_allocate_grid,5106222,0.6014838367779545,3.283745986758899,2.3333333333333335,15
roms,64bits,__mod_mixing_MOD_allocate_mixing,5076326,0.3938174971426185,2.3925362555517515,8.714285714285714,56
roms,64bits,__rho_eos_mod_MOD_rho_eos_tile,2171904,0.9257425742574258,0.07425742574257425,0.0,1
roms,64bits,__lmd_skpp_mod_MOD_lmd_skpp,1676535,0.43436910055561023,33.49356022987889,30.8,253
roms,64bits,__wvelocity_mod_MOD_wvelocity,1568646,0.0,35.38530363128456,43.0,76
roms,64bits,__t3dmix_mod_MOD_t3dmix2,1566194,0.0019301568004985335,28.41382804429081,31.625,70
roms,64bits,__rhs3d_mod_MOD_rhs3d,1358968,0.0405263405760842,18.87303159456293,16.23076923076923,73
roms,64bits,__step3d_t_mod_MOD_step3d_t,1081951,0.07098288184954772,30.444571889115128,28.0,72
roms,64bits,__step3d_uv_mod_MOD_step3d_uv_tile,1070080,0.3952153110047847,13.921330180921053,13.142857142857142,104
roms,64bits,__pre_step3d_mod_MOD_pre_step3d,786262,0.1009332766940282,70.43705278901943,63.6,246
roms,64bits,__prsgrd_mod_MOD_prsgrd,719447,0.2023165014240104,7.736503175355516,6.166666666666667,44
roms,64bits,__lmd_vmix_mod_MOD_lmd_vmix,645946,0.4955894145950281,9.698467054521585,10.25,40
roms,64bits,__uv3dmix_mod_MOD_uv3dmix2,540768,0.0,11.056941239126575,12.0,20
roms,64bits,__mod_forces_MOD_allocate_forces,415918,0.8155381589640266,1.8630859929120644,1.6153846153846154,25
roms,64bits,__diag_mod_MOD_diag_tile,377856,0.3604336043360434,33.750680153285906,27.5,111
roms,64bits,__bulk_flux_mod_MOD_bulk_flux_tile,347148,0.995566732344706,0.0044332676552939956,0.0,0
roms,64bits,__mod_coupling_MOD_allocate_coupling,300131,0.002249017928837741,21.264457853404014,19.88888888888889,49
roms,64bits,__ini_fields_mod_MOD_ini_fields_tile,31744,0.4838709677419355,1.467741935483871,1.0,3
wrf,32bits,solve_em_,97513191,0.5840706925486625,4.360818681443827,3.1142857142857143,112
wrf,32bits,__module_mp_wsm5_MOD_wsm52d,51721302,0.7716287188593977,7.152169158463954,3.3,108
wrf,32bits,__module_bl_ysu_MOD_ysu2d,35725517,0.633459580165068,1.4952474165734257,1.5454545454545454,17
wrf,32bits,__module_em_MOD_rk_update_scalar,21454751,0.8399951134366462,0.3720287874699641,0.0,2
wrf,32bits,__module_diffusion_em_MOD_cal_deform_and_div,11037211,0.02937145987333213,13.49342483350187,10.5,29
wrf,32bits,__module_advect_em_MOD_advect_scalar_pd,6300159,0.040021053436905325,15.858280084677228,9.0,56
wrf,32bits,__module_alloc_space_0_MOD_alloc_space_field_core_0,5839352,0.5517374188094843,6.901289732148362,4.08,72
wrf,32bits,__module_diffusion_em_MOD_calculate_n2,3578171,0.9917667434004691,0.008233256599530878,0.0,0
wrf,32bits,__module_bc_em_MOD_relax_bdy_dry,3416400,0.025780060882800607,5.102725383444562,5.0,9
wrf,32bits,__module_alloc_space_2_MOD_alloc_space_field_core_2,2247058,0.2988018110791978,8.506209897563837,4.872340425531915,64
wrf,32bits,__module_advect_em_MOD_advect_scalar,2135955,0.015025597449384467,25.110207377964425,12.666666666666666,116
wrf,32bits,__module_ra_rrtm_MOD_rrtm,876000,0.0,78.18066210045662,78.0,80
wrf,32bits,__module_small_step_em_MOD_advance_w,805140,0.0,16.456205132026728,16.0,31
wrf,32bits,__module_small_step_em_MOD_advance_mu_t,790230,0.0,8.366173139465726,8.0,14
wrf,32bits,__module_advect_em_MOD_advect_w,706037,3.3992552798224455e-05,8.83740228911516,9.0,17
wrf,32bits,__module_advect_em_MOD_advect_v,700560,0.0034144113280803927,6.724560351718625,5.333333333333333,16
wrf,32bits,__module_small_step_em_MOD_advance_uv,699840,1.2860082304526749e-05,9.040507830361225,9.0,14
wrf,32bits,__module_advect_em_MOD_advect_u,695790,0.0098133057388005,6.082496155449202,5.333333333333333,18
wrf,32bits,__module_alloc_space_1_MOD_alloc_space_field_core_1,683989,0.2786492180429802,11.230740552845148,6.410256410256411,84
wrf,32bits,__module_surface_driver_MOD_surface_driver,465060,0.859775082785017,0.2364834644992044,0.5,3
x264,32bits,x264_frame_new,7560500,0.011248065604126712,89.69489015276767,13.875,253
x264,32bits,x264_macroblock_cache_allocate,3960,0.2398989898989899,10.172222222222222,2.5,253
xz,64bits,sha_process,1874499,1.0,0.0,0.0,0
xz,64bits,spec_mem_init,1240196,0.8930709339491499,107.84034862231454,0.0,1089
xz,64bits,lzma_alloc,1152874,1.0,0.0,0.0,0
