bench,addr,generation,alloc_type,alloc_size,total,pct_fp8_e4m3,pct_fp8_e5m2,pct_bf16,pct_fp16,pct_fp32,site
wrf,0xe456880,9,32bits,667968,2827950,0.1387294683427924,0.1387284075036687,0.1387715482947011,0.1390473664668753,1.0,solve_em_
wrf,0xe456880,5,32bits,667968,2827950,0.1387308827949575,0.1387291147297512,0.1387676585512473,0.1389837161194504,1.0,solve_em_
wrf,0xdd27060,11,32bits,4007808,2822070,0.7742245940036924,0.7742242396538711,0.774227074452441,0.7742515245901058,1.0,solve_em_
wrf,0xdd27060,30,32bits,4007808,2822070,0.7615211529125784,0.7615207985627571,0.7615257594602544,0.7615597770430925,1.0,solve_em_
wrf,0xdd27060,28,32bits,4007808,2822070,0.7621136258136758,0.7621136258136758,0.7621189410609942,0.7621529586438324,1.0,solve_em_
wrf,0xdd27060,25,32bits,4007808,2822070,0.7633843242726084,0.7633843242726084,0.7633896395199269,0.7634286180002622,1.0,solve_em_
wrf,0xdd27060,12,32bits,4007808,2822070,0.7735212096085498,0.7735208552587285,0.7735265248558683,0.7735630228874549,1.0,solve_em_
wrf,0xdd27060,8,32bits,4007808,2822070,0.779013986187444,0.779013986187444,0.779021781883511,0.7790593429645615,1.0,solve_em_
wrf,0xdd27060,18,32bits,4007808,2822070,0.767778616405688,0.7677771990064031,0.7677835773031852,0.7678268079813754,1.0,solve_em_
wrf,0xdd27060,21,32bits,4007808,2822070,0.7657634289723501,0.7657634289723501,0.7657673268203836,0.7658009900534005,1.0,solve_em_
wrf,0xdd27060,22,32bits,4007808,2822070,0.7651472146332302,0.7651465059335878,0.7651528842303699,0.7651815865658895,1.0,solve_em_
wrf,0xdd27060,16,32bits,4007808,2822070,0.7685907861959483,0.7685907861959483,0.7685936209945182,0.7686255124784289,1.0,solve_em_
wrf,0xdd27060,17,32bits,4007808,2822070,0.7678183035856658,0.7678183035856658,0.7678232644831631,0.7678594081649286,1.0,solve_em_
wrf,0xdd27060,7,32bits,4007808,2822070,0.7813753733961242,0.7813753733961242,0.7813792712441576,0.7814154149259231,1.0,solve_em_
wrf,0xdd27060,13,32bits,4007808,2822070,0.7721041646734489,0.7721041646734489,0.7721077081716612,0.7721399540053933,1.0,solve_em_
wrf,0xdd27060,5,32bits,4007808,2822070,0.7821471473067642,0.7821471473067642,0.782151399504619,0.7821864801369208,1.0,solve_em_
wrf,0xdd27060,6,32bits,4007808,2822070,0.7819604049509757,0.7819604049509757,0.7819625310499031,0.7819983203818474,1.0,solve_em_
wrf,0xdd27060,26,32bits,4007808,2822070,0.7630441484442271,0.7630427310449421,0.7630480462922606,0.7630863160729535,1.0,solve_em_
wrf,0xdd27060,4,32bits,4007808,2822070,0.7862285485476973,0.7862285485476973,0.7862338637950157,0.7862600856817867,1.0,solve_em_
wrf,0xdd27060,3,32bits,4007808,2822070,0.7858564812354052,0.7858564812354052,0.7858596703837963,0.7858887270691371,1.0,solve_em_
wrf,0xdd27060,27,32bits,4007808,2822070,0.7625452238959346,0.7625452238959346,0.762549121743968,0.7625824306271638,1.0,solve_em_
wrf,0xdd27060,1,32bits,4007808,2822070,0.8703076110798103,0.8703065480303466,0.8703115089278437,0.8703331242669388,1.0,solve_em_
wrf,0xdd27060,14,32bits,4007808,2822070,0.7710078063265617,0.7710078063265617,0.7710152476728076,0.7710471391567183,1.0,solve_em_
wrf,0xdd27060,15,32bits,4007808,2822070,0.7701708320488152,0.7701708320488152,0.7701757929463124,0.7702080387800444,1.0,solve_em_
wrf,0xdd27060,2,32bits,4007808,2822070,0.7930054888787309,0.7930054888787309,0.7930086780271219,0.7930391521117478,1.0,solve_em_
wrf,0xdd27060,29,32bits,4007808,2822070,0.7621887479757766,0.7621887479757766,0.7621951262725588,0.762233750403073,1.0,solve_em_
wrf,0xdd27060,23,32bits,4007808,2822070,0.76490235890676,0.7649020045569387,0.7649059024049722,0.7649349590903132,1.0,solve_em_
wrf,0xdd27060,19,32bits,4007808,2822070,0.7671092495933836,0.7671081865439199,0.7671152735403445,0.7671453932751491,1.0,solve_em_
wrf,0xdd27060,9,32bits,4007808,2822070,0.7786245557339116,0.7786242013840904,0.778628099232124,0.7786518406701464,1.0,solve_em_
wrf,0xdd27060,10,32bits,4007808,2822070,0.7763492755317905,0.7763492755317905,0.776354590779109,0.7763921518601594,1.0,solve_em_
wrf,0xdd27060,20,32bits,4007808,2822070,0.766384249859146,0.766384249859146,0.7663860216082521,0.7664157869932354,1.0,solve_em_
wrf,0xdd27060,24,32bits,4007808,2822070,0.7646202964490605,0.7646202964490605,0.7646270290956638,0.7646603379788595,1.0,solve_em_
wrf,0xe127060,22,32bits,667968,2156958,0.1883518362434502,0.1883458092368975,0.1884751580698372,0.1892025713991649,1.0,solve_em_
wrf,0xd7b36e0,5,32bits,667968,2156958,0.1883467364686748,0.1883434911574541,0.1884417777258528,0.1890022893352582,1.0,solve_em_
wrf,0xd7b36e0,2,32bits,667968,2156958,0.1883495181640069,0.1883462728527861,0.1884134971566437,0.1887551820665956,1.0,solve_em_
wrf,0xd7b9460,3,32bits,667968,2156958,0.1883434911574541,0.1883416366938994,0.188408860997757,0.1888159157480118,1.0,solve_em_
wrf,0xe127060,23,32bits,667968,2156958,0.1883527634752276,0.1883462728527861,0.1884784033810579,0.1892456876768115,1.0,solve_em_
wrf,0xe127060,29,32bits,667968,2156958,0.1883532270911163,0.1883476637004522,0.1885168834998178,0.189460341833267,1.0,solve_em_
wrf,0xe127060,17,32bits,667968,2156958,0.1883481273163408,0.1883448820051201,0.1884454866529621,0.1890282518250239,1.0,solve_em_
wrf,0xe127060,27,32bits,667968,2156958,0.1883504453957842,0.1883444183892315,0.1884932390894954,0.1893532465629836,1.0,solve_em_
wrf,0xe127060,14,32bits,667968,2156958,0.1883499817798955,0.1883458092368975,0.1884223058585285,0.1889364558790667,1.0,solve_em_
wrf,0xd7b9460,2,32bits,667968,2156958,0.1883434911574541,0.1883416366938994,0.1883893891304327,0.18868378521974,1.0,solve_em_
wrf,0xd7b36e0,1,32bits,667968,2156958,0.1903759832133959,0.1903755195975072,0.1904167814115991,0.1906694520709258,1.0,solve_em_
wrf,0xd7b36e0,4,32bits,667968,2156958,0.1883430275415654,0.1883416366938994,0.1884005159117609,0.1887904168741347,1.0,solve_em_
wrf,0xe127060,11,32bits,667968,2156958,0.1883425639256768,0.1883411730780108,0.1884042248388703,0.1888186974433438,1.0,solve_em_
wrf,0xe127060,13,32bits,667968,2156958,0.1883513726275616,0.1883444183892315,0.1884510500436262,0.189032424368022,1.0,solve_em_
wrf,0xd7b9460,4,32bits,667968,2156958,0.1883495181640069,0.1883448820051201,0.1884093246136457,0.1888228699863418,1.0,solve_em_
