bench,alloc_type,site,min_e,max_e,exp_range,required_e_bits,total
pop2,32bits,__m_attrvect_MOD_init_,-126,127,254,8,11635033
pop2,64bits,__hmix_gm_MOD_init_gm,-863,920,1784,11,10741286
pop2,64bits,__shr_map_mod_MOD_shr_map_mapset_global,-51,8,60,6,6452764
pop2,32bits,__m_permuter_MOD_permutei_,-126,127,254,8,5888327
pop2,64bits,ncio_open,-1022,1023,2046,11,5445236
pop2,64bits,__m_permuter_MOD_permuted_,-60,9,70,7,5117555
pop2,64bits,__io_binary_MOD_read_real8_3d,-1022,1023,2046,11,3825896
pop2,64bits,__hmix_aniso_MOD_init_aniso,-863,920,1784,11,3564336
pop2,64bits,__shr_ncread_mod_MOD_shr_ncread_domain,-22,8,31,5,3561150
pop2,64bits,__vmix_kpp_MOD_init_vmix_kpp,-863,920,1784,11,3057485
pop2,64bits,__initial_MOD_init_ts,-22,6,29,5,2954880
pop2,64bits,__tidal_mixing_MOD_init_tidal_mixing,-863,920,1784,11,2507622
pop2,64bits,__shr_dmodel_mod_MOD_shr_dmodel_mapset_global,-51,8,60,6,2461822
pop2,64bits,__shr_dmodel_mod_MOD_shr_dmodel_readgrid,-22,8,31,5,1825201
pop2,64bits,__shr_mct_mod_MOD_shr_mct_smatreaddnc,-60,9,70,7,1727125
pop2,64bits,__alloc_mod_MOD_alloc_check_1d_double,-27,99,127,7,1100840
pop2,64bits,__shr_mem_mod_MOD_shr_mem_init,0,0,1,1,1048576
pop2,64bits,__forcing_sfwf_MOD_init_sfwf,-863,920,1784,11,1039098
pop2,64bits,__seq_flux_mct_MOD_seq_flux_init_mct,-31,99,131,8,841063
povray,64bits,pov::open_istack(),-56,503,560,10,20213461
povray,64bits,pov::Create_Priority_Queue(unsigned int),-54,23,78,7,12060239
povray,32bits,pov::NewComTexData(),-126,127,254,8,512323
povray,64bits,pov::Initialize_Radiosity_Code(),-8,0,9,4,9606
povray,32bits,pov::Create_BMap_Entries(int),-118,0,119,7,4804
povray,64bits,pov::POVFPU_AddFunction(pov::FunctionCode*),-511,769,1281,11,1068
povray,64bits,pov::Initialize_Noise(),-53,0,54,6,1000
roms,64bits,__step2d_mod_MOD_step2d_tile,-109,25,135,8,351624766
roms,64bits,__mod_ocean_MOD_allocate_ocean,-88,20,109,7,230655172
roms,64bits,__step3d_uv_mod_MOD_step3d_uv_tile,-92,27,120,7,152705608
roms,64bits,__step3d_t_mod_MOD_step3d_t,-82,20,103,7,120648604
roms,64bits,__lmd_skpp_mod_MOD_lmd_skpp,-253,11,265,9,72991613
roms,64bits,__rho_eos_mod_MOD_rho_eos_tile,-20,38,59,6,71672832
roms,64bits,__pre_step3d_mod_MOD_pre_step3d,-271,20,292,9,68985832
roms,64bits,__mod_coupling_MOD_allocate_coupling,-64,28,93,7,66573232
roms,64bits,__mod_grid_MOD_allocate_grid,-48,30,79,7,58949006
roms,64bits,__rhs3d_mod_MOD_rhs3d,-100,17,118,7,54695421
roms,64bits,__mod_mixing_MOD_allocate_mixing,-48,12,61,6,52442432
roms,64bits,__t3dmix_mod_MOD_t3dmix2,-140,15,156,8,47455335
roms,64bits,__lmd_vmix_mod_MOD_lmd_vmix,-93,27,121,7,42411768
roms,64bits,__prsgrd_mod_MOD_prsgrd,-50,10,61,6,38725874
roms,64bits,__wvelocity_mod_MOD_wvelocity,-125,2,128,7,19126189
roms,64bits,__uv3dmix_mod_MOD_uv3dmix2,-17,27,45,6,16223040
roms,64bits,__diag_mod_MOD_diag_tile,-92,61,154,8,11567104
roms,64bits,__ini_fields_mod_MOD_ini_fields_tile,2,11,10,4,3932160
roms,64bits,__mod_forces_MOD_allocate_forces,-82,10,93,7,2425327
roms,64bits,__bulk_flux_mod_MOD_bulk_flux_tile,-29,21,51,6,1428728
wrf,32bits,__module_alloc_space_0_MOD_alloc_space_field_core_0,-126,30,157,8,1058540811
wrf,32bits,solve_em_,-126,19,146,8,547676516
wrf,32bits,__module_mp_wsm5_MOD_wsm52d,-126,29,156,8,190979921
wrf,32bits,__module_bl_ysu_MOD_ysu2d,-126,99,226,8,187119308
wrf,32bits,__module_small_step_em_MOD_advance_uv,-28,9,38,6,121961700
wrf,32bits,__module_alloc_space_2_MOD_alloc_space_field_core_2,-126,86,213,8,119842405
wrf,32bits,__module_advect_em_MOD_advect_scalar,-126,29,156,8,92744203
wrf,32bits,__module_small_step_em_MOD_advance_w,-26,23,50,6,92531450
wrf,32bits,__module_diffusion_em_MOD_cal_deform_and_div,-78,6,85,7,81041059
